client_name,area,customer_category
Four Seasons Sayan (UBU0156278),,
Four Seasons Sayan SPA,,
French Kiss (PT Jeevawasa),,
French Kiss SAMPLE,,
Ghost Panther,,
Gingermoon,,
Gio Private Villa,,
Gio's Private Villa Canggu,,
Grand Hyatt Jakarta (Handle Teapot),,
Grand Melia Bali,,
Greek Restaurant,,
Greek Restaurant In Uluwatu,,
Handara Golf & Resort Bali,,
Handara Golf Handara ,,
Hilton Bali (Sake Set),,
Hilton Bali Lounge,,
Hilton Bali Sake Set updated,,
Hiyoko,,
Holiday Inn Benoa,,
Holiday Inn Benoa (Additional - Salad Bowl),,
Holiday Inn Benoa (Additional Milk Jug),,
Holiday Inn Benoa (Updated pcs),,
Holiday Inn Benoa Additional,,
Hotel Permana Hijau,,
Hujan Locale,,
Hujan Locale ,,
Hujan Locale (Bowl Shrimp),,
Ibu Ming (Elaine),,
Indigo Bandung ,,
Indigo Bandung (Moodboard),,
Indigo Bintan - Chinese Tea,,
Indigo Bintan - Ocean Beach,,
Indigo Bintan - Ocean Kitchen,,
Indigo Bintan - Satay Bar,,
Indigo Bintan - TIKI,,
Indigo Bintan Chinese Additional,,
Indigo Bintan Chinesse Tea - Additional,,
Indigo Hotel Seminyak,,
Indigo Seminyak,,
Indigo Seminyak ,,
Indigo Seminyak (Oval Plate),,
Indigo Seminyak (SAMPLE - New Items For Makase Outlet),,
Indigo Seminyak - Urchin Bowl,,
Indigo Seminyak Japanese,,
InterContinental Jimbaran,,
Intercontinental Bali,,
Intercontinental Bandung,,
Intercontinental Bandung ,,
Intercontinental Jimbaran,,
Intercontinental Jimbaran ,,
Ismaya Jakarta - Charcoal,,
Ismaya Jakarta - Skye,,
Ismaya Jakarta Charcoal (Prima Fenomena Jaya),,
Ismaya Jakarta Skye,,
Ismaya Social Garden,,
Jinjoo,,
Joali Maldives - In Villa Dining ,,
Joyce and Ralph,,
Jumeirah Bali ,,
Jumeirah Bali  - Akasa Flame ,,
Jumeirah Bali (All Day Dining),,
Jumeirah Bali (Cloche),,
Jumeirah Bali (Cloche) SAMPLE,,
Jumeirah Bali (Creamer),,
Jumeirah Bali (New Pasta Bowl),,
Jumeirah Bali (Pasta Bowl - Updated),,
Jumeirah Bali (Pasta Bowl),,
Jumeirah Bali (SAMPLE - In-room Cloche),,
Jumeirah Bali (Small Teapot),,
Jumeirah Bali (Teapot),,
Jumeirah Bali SAMPLE,,
Jumierah Bali - Akasa Flame Grill,,
Kaia Restaurant,,
Kaia Restaurant ,,
Kanvaz Patisserie,,
Kebun Bistro (SAMPLE),,
Kebun Bistro SAMPLE,,
Keraton,,
Keraton At The Plaza (SAMPLE),,
Keraton Jakarta,,
Keraton Mid Plaza,,
Kiros Hospitality,,
Ku De Ta,,
Ku De Ta ,,
Ku De Ta (Bowl),,
Ku De Ta (Sharing Plate),,
Ku De Ta (Teapot),,
KuDeTa,,
Kudeta (Creme Brulee),,
Kudeta (creme brulee),,
LXR,,
La Brisa - Teapot,,
La Favella,,
La Favella (Side Plate),,
La Plancha,,
La Plancha (New Cup),,
La Reserve,,
Langham The Tom's,,
Langham and Morimoto ,,
Le Meridien Jakarta,,
Le Reserve Bali,,
Little Lane,,
Locavore Made from Waste,,
Locavore NXT,,
Luna Beach Hotel,,
Luna Beach Hotel ,,
Luna Beach Hotel - Chopstick,,
Luxury Collection Laboan Bajo - Tiffin Box,,
Luxury Collection Lombok,,
MBS - Fieldcrest,,
MG Hotel Supplies LLC - Royal Atlantis,,
Mactan Seascapes Services,,
Made By Rumah,,
Made By Rumah SAMPLE,,
Made by Umah,,
Mama San,,
Mamasan (Good Stock),,
Mana Uluwatu,,
Mana Uluwatu ,,
Mandara SPA,,
Mandara Spa ,,
Mandarin Oriental,,
Mandarin Oriental Bali,,
Mandarin Oriental Bali - Ashtray SAMPLE,,
Mandarin Oriental Bali SAMPLE,,
Mari Beach Club,,
Mason,,
Maya Sanur ,,
Maya Sanur RUE,,
Maya Tree Bar Sanur,,
Maya Tree Bar Sanur - Breakfast,,
Maya Tree Bar Sanur - Breakfast Additional,,
Maya Tree Bar Ubud,,
Maya Ubud (Cups & Saucer),,
Maya Ubud - Flower Vases for HK (SAMPLE),,
Maya Ubud - High dish,,
Maya Ubud Cups,,
Maya Ubud SAMPLE,,
Maya Ubud SAMPLE Vase,,
Maya Ubud Vases ,,
Maya Ubud Vases SAMPLE,,
Melia Bali - Japanese,,
Melia Bali - Pesetas,,
Melia Bali - Samira,,
Menjangan Dynasty,,
Meru Sanur Repeat ,,
Micha Sanubari,,
Micha Sanubari [Updated],,
Michael Lorenti - Additional,,
Michael Lorenti - Decorative,,
Michael Lorenti - Personal Order,,
Milano Canggu (White Goose Boutique Hotel),,
Milk and Madu - Uluwatu,,
Milk and Madu Additional,,
Milk and Madu Beach Road,,
Milk and Madu Berawa,,
Milk and Madu Ubud,,
Milk and Madu Uluwatu,,
Mimosa - Four Season Nam Hai,,
Mimpi Resort Menjangan,,
Miss Fish,,
Miss Fish ,,
Miss Fish Bali -Teapot,,
Monokuro (New),,
Motel Mexicola,,
Motel Mexicola (Good Stock),,
Motel Mexicola - BnB Plate,,
Motel Mexicola Canggu,,
Motel Mexicola Seminyak,,
Motel Mexicola Seminyak - New Range,,
Naughty Nuri's,,
Nawa Laboan Bajo - All Day Dinning Option 1 ,,
Nawa Laboan Bajo - All Day Dinning Option 2,,
Nawa Laboan Bajo - Bathroom amenities,,
Nawa Laboan Bajo - Beach Restaurant,,
Nawa Laboan Bajo - Ibu Tuti,,
New World Phu Quoc - Mimosa,,
Nihi Rote - Tea Set,,
Nihi Rote Additional,,
Nihi Rote Sardine,,
Nihi Sumba,,
Nihi Sumba ,,
Nihi Sumba (BnB Plate),,
Nihi Sumba (Bnb Plate),,
Nihi Sumba (Candle Holder),,
Nihi Sumba (Clay Pot),,
Nihi Sumba (Curry Bowl),,
