Date,Company_Name,Brand_Name,Symbol Currency,Sub Total,VAT Amount,Total,Customer_Category,Trade_Type,Status,
14 Oct 2024,Beyond Bamboo (Six Senses London),Six Senses London,$,"3,105.",0.,"3,105.",Hotel,Export,Terproses,
28 Nov 2024,Beyond Bamboo (Six Senses London),Six Senses London,$,936.,0.,936.,Hotel,Export,Terproses,
13 Feb 2025,Beyond Bamboo (Six Senses London),Six Senses London,$,363.,0.,363.,Hotel,Export,Terproses,
17 Feb 2024,Bidadari Dunia - La Plancha,La Plancha Bali Sejahtera,Rp,"22,500,000.","2,475,000.","24,975,000.",Restaurant,Local,Terproses,
16 Jul 2024,Bidadari Dunia - La Plancha,La Plancha Bali Sejahtera,Rp,"34,500,000.","3,795,000.","38,295,000.",Restaurant,Local,Terproses,
21 Feb 2024,Boa Development,Nihi Rote,Rp,"35,950,000.","3,954,500.","39,904,500.",Hotel,Local,Terproses,
30 Jul 2024,Boa Development,Nihi Rote,Rp,"135,360,000.","14,889,600.","150,249,600.",Hotel,Local,Terproses,
25 Oct 2024,Boa Development,Nihi Rote,Rp,"39,050,000.","4,295,500.","43,345,500.",Hotel,Local,Terproses,
12 Dec 2024,Boa Development,Nihi Rote,Rp,"45,445,000.","4,998,950.","50,443,950.",Hotel,Local,Terproses,
12 Dec 2024,Boa Development,Nihi Rote,Rp,"9,600,000.","1,056,000.","10,656,000.",Hotel,Local,Terproses,
19 Dec 2024,Boa Development,Nihi Rote,Rp,"4,800,000.","528,000.","5,328,000.",Hotel,Local,Terproses,
19 Dec 2024,Boa Development,Nihi Rote,Rp,"37,935,000.","4,172,850.","42,107,850.",Hotel,Local,Terproses,
10 Jan 2024,Bokashi Berawa,Bokashi Berawa,Rp,"3,600,000.","396,000.","3,996,000.",Restaurant,Local,Sebagian diproses,
18 Apr 2024,Bokashi Berawa,Bokashi Berawa,Rp,"28,050,000.","3,085,500.","31,135,500.",Restaurant,Local,Terproses,
23 May 2024,Bokashi Berawa,Bokashi Berawa,Rp,"5,250,000.","577,500.","5,827,500.",Restaurant,Local,Terproses,
23 May 2024,Bokashi Berawa,Bokashi Berawa,Rp,"15,360,000.","1,689,600.","17,049,600.",Restaurant,Local,Terproses,
23 Jul 2024,Bokashi Berawa,Bokashi Berawa,Rp,"2,850,000.","313,500.","3,163,500.",Restaurant,Local,Terproses,
29 Nov 2024,Bokashi Berawa,Bokashi Berawa,Rp,"8,550,000.","940,500.","9,490,500.",Restaurant,Local,Terproses,
07 Mar 2025,Bokashi Berawa,Bokashi Berawa,Rp,"8,550,000.","940,500.","9,490,500.",Restaurant,Local,Terproses,
29 Oct 2024,Boma Beach Club,Boma Beach Club,$,"26,432.33",0.,"26,432.33",Restaurant,Local,Terproses,
28 Jan 2025,Boma Beach Club,Boma Beach Club,$,670.,0.,670.,Restaurant,Local,Terproses,
06 Mar 2024,Brett Hospitality Group,Mason Pererenan Barvera,Rp,"19,360,000.","2,129,600.","21,489,600.",Restaurant,Local,Sebagian diproses,
23 May 2024,Brett Hospitality Group,Mason Uluwatu,Rp,"20,040,000.","2,204,400.","22,244,400.",Restaurant,Local,Menunggu diproses,
24 Oct 2024,Brett Hospitality Group,Mason Uluwatu,Rp,"2,250,000.","247,500.","2,497,500.",Restaurant,Local,Terproses,
31 Oct 2024,Brett Hospitality Group,Mason Uluwatu,Rp,"8,000,000.","880,000.","8,880,000.",Restaurant,Local,Terproses,
26 Dec 2024,Brett Hospitality Group,Mason Uluwatu,Rp,"31,000,000.","3,410,000.","34,410,000.",Restaurant,Local,Terproses,
13 Feb 2024,Buana Giri Fortuna,Bali Good Food Catering,Rp,"51,120,000.","5,623,200.","56,743,200.",Restaurant,Local,Terproses,
17 May 2024,Budi Susanti,Budi Susanti,Rp,"6,950,000.","764,500.","7,714,500.",Personal,Local,Terproses,
12 Jan 2024,Bukit Uluwatu Villa,Alila Uluwatu,Rp,"33,000,000.","3,630,000.","36,630,000.",Hotel,Local,Terproses,
06 Feb 2024,Bukit Uluwatu Villa,Alila Uluwatu,Rp,"23,148,000.","2,546,280.","25,694,280.",Hotel,Local,Terproses,
