Total_USD,Total_Quantity,Avg_Price_Per_Item,Quantity_to_Value_Ratio,Order_Density,Cluster
0.9867796547427642,0.7460147662800448,-0.35024392076737365,-0.02004480223475142,-1.249343436555533,4
0.1144516814397073,0.19911662110826006,-0.38667950937095324,-0.019890627703117135,-1.2364927831132289,1
-0.06241710656417189,-0.11098026532934986,-0.3372386463862184,-0.02007583807116122,-0.9358627717811879,1
-0.12797434835032828,-0.12977401602253832,-0.3707891312391472,-0.01997516958196034,0.1884476893806454,3
-0.06750438597914142,-0.13353276616117604,-0.3134365404433494,-0.02011740009783058,-1.2378204384932232,1
2.1346009740331584,1.2120997834711194,-0.3183996679282595,-0.02010996846316873,0.1884476893806454,4
1.6098153315607346,1.2421697845802209,-0.34996507697704016,-0.020045551797175556,0.1884476893806454,4
2.36974095855065,2.8565529691251115,-0.3828386944738264,-0.019914694291773855,-1.2317709682329574,4
0.07309802975360531,0.35886350200036216,-0.40993448182070336,-0.01964788606653493,-1.2375011420627728,1
0.45074269798140454,0.4904197568526815,-0.37481152629465303,-0.019957119101422047,0.1884476893806454,3
0.06919674185869003,0.0788366166718538,-0.37331348155769944,-0.019964061062983762,-1.2418091445746864,1
-0.21187544581837633,-0.08466901435888598,-0.4453055370513985,-0.01521161926602969,-1.2382667225712531,1
1.6353297543934806,2.2852229480521813,-0.3909939643021361,-0.019859896160992555,-1.2213135890068585,4
-0.1779888591631422,-0.20119026865665457,-0.2967059130233384,-0.020138921203486457,-1.2382667225712531,1
0.055152105436995016,-0.009494011586132063,-0.3467216834157924,-0.020053974846111194,-1.2418091445746864,1
-0.15083589541453182,-0.12977401602253832,-0.3903974265754001,-0.019864407544675933,-1.2324544112922236,1
1.1184871340751041,0.6426491374675082,-0.3260153592367894,-0.02009741385015263,-1.241209254953868,4
0.5999279470829649,0.7685672671118711,-0.3839459952445019,-0.01990804036032335,0.1884476893806454,3
0.49069188602533703,0.8023960183596103,-0.39472410165178395,-0.019829503288155078,0.1884476893806454,3
-0.16675315002578617,-0.17863776782482838,-0.35359004625137586,-0.020035471474919932,-1.2382667225712531,1
-0.08061271330605677,-0.1560852669930022,-0.28332141108732956,-0.020153039048796714,-1.232354004116914,1
0.16844550590533477,0.0017822388297810254,-0.3114288651529481,-0.020120255783004148,-1.2317709682329574,1
-0.049402410146734514,0.15213224437528886,-0.4138203049634156,-0.01957741599228311,-1.2423939047759154,1
-0.0010264402497850305,0.0017822388297810254,-0.371993736413388,-0.01996995762929457,-1.2317709682329574,1
0.28454783365801356,0.18220224548439043,-0.35024392076737365,-0.02004480223475142,-1.2317709682329574,1
-0.21260108536683056,-0.14856776671572683,-0.4415596852257938,-0.01731991048632334,0.1884476893806454,3
-0.14303331962470126,-0.03580526255659593,-0.4171664304474178,-0.019503618164524957,-1.2405738518674971,1
0.14653587308749055,0.4077272538026522,-0.4037102258224661,-0.01973644034858316,-1.2426869365500794,1
-0.19858765924829488,0.2273072471480428,-0.44661233470663725,-0.01355059339203385,-0.2933996511172832,3
2.199612035514027,1.5165585447007726,-0.33852164099404414,-0.020073096476690158,-1.2317709682329574,4
0.5735552409133375,0.26113599839578205,-0.31854651501969383,-0.020109740071929026,-1.2382667225712531,1
0.020274591656452404,-0.02077026200204515,-0.3547983693428211,-0.020031941895546235,-1.2213135890068585,1
1.5579282025583614,0.34006975130717365,-0.19632214850327223,-0.02020858162442522,-1.2463468077897664,4
-0.15668782725690475,-0.17675839275550953,-0.34020554431536704,-0.020069401510670805,-1.2426869365500794,1
0.19606662420133497,-0.017011511863407453,-0.28800598676493266,-0.02014836214942439,0.1884476893806454,3
0.9783528728897473,0.5204897579617831,-0.3207371778629906,-0.020106271619777145,-1.2456477323954294,4
-0.053069620767954885,-0.08278963928956713,-0.35457157639334985,-0.020032611139811345,-1.1414509703936375,1
-0.19826619312575386,0.0788366166718538,-0.44455644195584526,-0.015841344120621496,-1.232426379527922,1
0.20972113183353847,0.13521786875141922,-0.3539053879200253,-0.020034558848528155,-1.245667122457063,1
-0.2016306638063288,-0.20119026865665457,-0.3811955814943941,-0.01992417686970094,-1.2213135890068585,1
-0.2080631072874651,-0.09594526477479907,-0.4424316461607427,-0.01700122669282939,0.1884476893806454,3
0.013018196171909982,0.7159447651709433,-0.4305509323834266,-0.018962434094298493,-1.2375011420627728,1
-0.10402044067554846,-0.1673615174089153,-0.28332141108732956,-0.020153039048796714,-1.241209254953868,1
1.2497264588600543,0.8005166432902915,-0.3348947212994737,-0.020080689772564848,-1.2317339457711443,4
-0.02989597067215811,-0.1316533910918572,-0.28332141108732956,-0.020153039048796714,-1.2478477946622206,1
1.7504957730513797,1.5052822942848596,-0.3587256214507358,-0.020019829121490217,-1.241209254953868,4
-0.09933889520165012,-0.11098026532934986,-0.36362842270338247,-0.020003172690887847,-1.2325416013871313,1
0.5049705997207269,0.14273536902869463,-0.29095744103800125,-0.020145274613184116,0.1884476893806454,3
1.3495994289698854,1.204582283193844,-0.3619993879282762,-0.02000891148791822,0.1884476893806454,4
0.3805195158729295,0.27429162388101397,-0.35327437403590395,-0.020036379136382138,-1.232426379527922,1
-0.1499659708967145,-0.17675839275550953,-0.3286749034231889,-0.020092660136878264,-1.150829282691777,1
1.9558595678397201,1.213979158540438,-0.3285925205767712,-0.020092810499045703,-1.0903010219407805,4
-0.1685923648328031,-0.1448090165770891,-0.3970555703970725,-0.01980835721916393,-1.150829282691777,1
-0.17044078560508671,-0.11473901546798755,-0.41320079706013524,-0.019589631364628105,-1.150829282691777,1
