Total_USD,Total_Quantity,Cluster,Avg_Price_Per_Item,Quantity_to_Value_Ratio,Company_Name,Order_Density
7740.0,516.0,4,15.0,0.06666666666666667,marina bay sands,0.005361930294906166
2150.0,225.0,1,9.555555555555555,0.10465116279069768,"cprc (maldives) pvt, ltd (ritz carlton maldives)",0.014251781472684086
1016.6,60.0,1,16.943333333333335,0.05902026362384419,al ghalia w.l.l,0.2222222222222222
596.5,50.0,3,11.93,0.08382229673093043,six senses amaala,1.0
984.0,48.0,1,20.5,0.04878048780487805,renarte general trading llc,0.013333333333333334
15095.4,764.0,4,19.758376963350784,0.050611444546020644,anna kersova,1.0
11732.5,780.0,4,15.041666666666666,0.0664819944598338,w hotel maldives,1.0
16602.21,1639.0,4,10.129475289810859,0.09872179667646658,waldorf astoria maldives ithaa fushi,0.017518248175182483
1885.0,310.0,1,6.080645161290323,0.16445623342175067,leisure oceans private limited (six sense kanuhura),0.01355421686746988
4305.0,380.0,3,11.328947368421053,0.08826945412311266,hilton london (smeeta),1.0
1860.0,161.0,1,11.5527950310559,0.08655913978494624,four season resort maldives,0.010574018126888218
58.85,74.0,1,0.7952702702702703,1.2574341546304162,mg hotel supplies llc,0.013024602026049204
11896.0,1335.0,4,8.910861423220974,0.11222259583053128,beyond bamboo (six senses london),0.024752475247524754
276.0,12.0,1,23.0,0.043478260869565216,mg hotel supplies llc,0.013024602026049204
1770.0,114.0,1,15.526315789473685,0.06440677966101695,four season resort maldives,0.010574018126888218
450.0,50.0,1,9.0,0.1111111111111111,range developments msd limited (six sense grenada),0.017045454545454544
8584.0,461.0,4,18.620390455531453,0.053704566635601116,"hai ha handicraft co., ltd",0.01098901098901099
5261.0,528.0,3,9.964015151515152,0.10036114807070899,six senses con dao,1.0
4561.0,546.0,3,8.353479853479854,0.11971058978294234,"rpb investment co., ltd.",1.0
348.0,24.0,1,14.5,0.06896551724137931,mg hotel supplies llc,0.013024602026049204
900.0,36.0,1,25.0,0.04,patina maldives fari islands,0.017114914425427872
2496.0,120.0,1,20.8,0.04807692307692308,waldorf astoria maldives ithaa fushi,0.017518248175182483
1100.0,200.0,1,5.5,0.18181818181818182,sequitur resorts pty limited (six senses fiji),0.010169491525423728
1410.0,120.0,1,11.75,0.0851063829787234,waldorf astoria maldives ithaa fushi,0.017518248175182483
3240.0,216.0,1,15.0,0.06666666666666667,waldorf astoria maldives ithaa fushi,0.017518248175182483
54.2,40.0,3,1.355,0.7380073800738007,kathryn grant,1.0
500.0,100.0,1,5.0,0.2,nae um,0.011428571428571429
2355.6,336.0,1,7.010714285714285,0.14263881813550688,southern dunes operations & maintenance co.,0.009966777408637873
144.0,240.0,3,0.6,1.6666666666666667,omer faruk yunus,0.6666666666666666
15512.0,926.0,4,16.751619870410366,0.059695719443011865,waldorf astoria maldives ithaa fushi,0.017518248175182483
5092.0,258.0,1,19.73643410852713,0.05066771406127259,mg hotel supplies llc,0.013024602026049204
1546.5,108.0,1,14.319444444444445,0.06983511154219205,beyond bamboo (six senses london),0.024752475247524754
11400.0,300.0,4,38.0,0.02631578947368421,spirit real-estate development company,0.007434944237918215
