invoice_number,Date,Company_Name,Brand_Name,Total,Customer_Category,Trade_Type,Total_Quantity,Country,Total_USD
638925#08010000076620240917001918,2024-09-30,spirit real-estate development company,Grand Hyatt Kuwait,11400.0,Hotel,Export,300.0,Kuwait,11400.0
638928#08010000025220240927007420,2024-09-30,southern dunes operations & maintenance co.,Six Sense Dunes/The Parker Company,412.5,Hotel,Export,25.0,Saudi Arabia,412.5
638933#08010000025220240927007424,2024-09-30,jeffrey grimes,Jeffrey Grimes,2673.0,Personal,Export,110.0,Spain,2673.0
639896#00003001363120241007010360,2024-10-07,ali bey malidives pvt. ltd. (joali muravandhoo),Joali Muravandhoo,7686.0,Hotel,Export,396.0,Maldives,7686.0
640104#08010000025220241007007699,2024-10-08,jayasom amaala,Jayasom Amaala,1076.5,Hotel,Export,75.0,Saudi Arabia,1076.5
640571#00003001364420241011000200,2024-10-11,fieldcrest enterprise,Raffless Singapore (USD),146.06,Agent,Export,161.0,Singapore,146.06
642776#08010000076620241028001926,2024-10-29,kiros hospitality solutions pvt. ltd.,Kiros,2760.5,Hotel,Export,191.0,India,2760.5
643126#08010000025220241030008482,2024-10-31,beyond bamboo (six senses london),Six Senses London,124.5,Hotel,Export,12.0,United Kingdom,124.5
645773#00003001310720241115001520,2024-11-16,furnish hospitality,Furnish Hospitality,83.28,Hotel,Export,68.0,United Arab Emirates,83.28
646223#00003001813220241119201865,2024-11-19,leisure oceans private limited (six sense kanuhura),Six Sense Kanuhura,1500.0,Hotel,Export,500.0,Maldives,1500.0
648906#00003002914220241204100076,2024-12-04,"hai ha handicraft co., ltd",Hai Ha,750.0,Hotel,Export,30.0,Vietnam,750.0
650960#00003002386620241216800233,2024-12-16,rosewood hotel doha,Royal Hospitality Co W.L.L,9425.0,Hotel,Export,545.0,Qatar,9425.0
651667#00003071543520241219000637,2024-12-20,jwo holdings pte ltd,Janice Wong / W Sydney,1225.0,Hotel,Export,49.0,Australia,1225.0
651821#00003031712320241219000195,2024-12-21,reef hospitality solutions and trading company,Sindalah,126012.2,Hotel,Export,7695.0,Saudi Arabia,126012.2
652747#00003002217320241227000975,2024-12-30,"hai ha handicraft co., ltd",Hai Ha,12634.0,Hotel,Export,920.0,Vietnam,12634.0
706457#00003002454520240626001065,2024-06-28,mactan seascapes service inc (crimson),Crimson / Boracay,780.0,Hotel,Export,60.0,Philippines,780.0
715137#00003002417020240711000662,2024-07-12,fieldcrest enterprise,Raffless Singapore (USD),21481.5,Agent,Export,1513.0,Singapore,21481.5
721330#00003083446020240719202139,2024-07-23,"mimosa cityscapes, inc.","Mimosa Cityscapes, INC.",4652.5,Restaurant,Export,195.0,Philippines,4652.5
729751#00003092346520240802001883,2024-08-05,capella sydney,Brasserie 1938 Capella Sydney (HPG International H,10065.0,Hotel,Export,760.0,Australia,10065.0
741139#00003002417020240821000780,2024-08-21,fieldcrest enterprise,Raffless Singapore (USD),3855.0,Agent,Export,265.0,Singapore,3855.0
755890#07010000120720240911000025,2024-09-12,radhat al jabal llc (hotel indigo jabal akhdar resort & spa),Indigo Oman,43370.5,Hotel,Export,1905.0,Oman,43370.5
76343,2023-02-14,anaamaya resort seminyak,Alila Seminyak,7385000.0,Hotel,Local,25.0,Indonesia,455.5745983201542
767908#00003002454520240930001562,2024-09-30,the ritz carlton bahrain,The Ritz Carlton Bahrain,13950.0,Hotel,Export,765.0,Bahrain,13950.0
77419,2023-01-10,anaamaya resort seminyak,Alila Seminyak,5450130.0,Hotel,Local,42.0,Indonesia,336.21405356027384
77419-1,2023-01-26,anaamaya resort seminyak,Alila Seminyak,5258120.0,Hotel,Local,58.0,Indonesia,324.36911400394985
77421,2023-01-10,anaamaya resort seminyak,Alila Seminyak,48983650.0,Hotel,Local,281.0,Indonesia,3021.761228572109
77421-1,2023-01-27,anaamaya resort seminyak,Alila Seminyak,17920230.0,Hotel,Local,166.0,Indonesia,1105.4843038665915
77421-2,2023-02-08,anaamaya resort seminyak,Alila Seminyak,3411870.0,Hotel,Local,28.0,Indonesia,210.47546442391126
778369#00003002845820241015001069,2024-10-16,"cprc (maldives) pvt, ltd (ritz carlton maldives)",Ritz Carlton Maldives,5075.0,Hotel,Export,620.0,Maldives,5075.0
779654#00003031712320241015000163,2024-10-17,reef hospitality solutions and trading company,Sindalah,195880.81,Hotel,Export,12000.0,Saudi Arabia,195880.81
790212#00003002454520241030001718,2024-11-01,mactan seascapes service inc (crimson),Crimson / Boracay,9325.0,Hotel,Export,300.0,Philippines,9325.0
810300#00003083446020241116203301,2024-12-02,leisure ventures langkawi sdn bhd,Four Seasons Resort Langkawi,10098.0,Hotel,Export,720.0,Malaysia,10098.0
816888#00003002845820241210001467,2024-12-11,"cprc (maldives) pvt, ltd (ritz carlton maldives)",Ritz Carlton Maldives,6796.0,Hotel,Export,445.0,Maldives,6796.0
822322#00003002791820241218000081,2024-12-19,asl uk ltd,Six Senses London - Link,15015.0,Hotel,Export,1980.0,United Kingdom,15015.0
887,2023-01-06,amanda arumdhani,Four Season Sayan,54171679.0,Hotel,Local,377.0,Indonesia,3341.8064862225233
888,2023-01-06,amanda arumdhani,Four Season Sayan,10919275.0,Hotel,Local,80.0,Indonesia,673.6011268885989
898,2023-01-11,amanda arumdhani,Four Season Sayan,52051905.05,Hotel,Local,370.0,Indonesia,3211.039368307726
901,2023-01-12,amanda arumdhani,Four Season Sayan,7095930.0,Hotel,Local,59.0,Indonesia,437.7421069001939
922634#00003001590820231206000077,2024-01-02,leisure oceans private limited (six sense kanuhura),Six Sense Kanuhura,16800.0,Hotel,Export,934.0,Maldives,16800.0
927,2023-02-03,amanda arumdhani,Four Season Sayan,16261539.95,Hotel,Local,138.0,Indonesia,1003.1610739049954
HOME-00001/KEVALA/OUT/01/2025,2025-01-31,kevala keramik bali,KKB,38235032.0,Umum,Local,227.0,Indonesia,2358.68779216767
HOME-00001/KEVALA/OUT/02/2025,2025-02-28,kevala keramik bali,KKB,67100458.0,Umum,Local,1710.0,Indonesia,4139.372268171751
