invoice_number,Date,Company_Name,Brand_Name,Total,Customer_Category,Trade_Type,Total_Quantity,Country,Total_USD
SI.2023.02.00069,2023-02-09,revenue studio,Studio,600000.0,Studio,Local,1.0,Indonesia,37.013508326620524
SI.2023.02.00070,2023-02-10,revenue studio,Studio,550000.0,Studio,Local,2.0,Indonesia,33.929049299402145
SI.2023.02.00071,2023-02-11,revenue studio,Studio,1320000.0,Studio,Local,6.0,Indonesia,81.42971831856515
SI.2023.02.00072,2023-02-11,revenue studio,Studio,600000.0,Studio,Local,1.0,Indonesia,37.013508326620524
SI.2023.02.00073,2023-02-11,revenue studio,Studio,4800000.0,Studio,Local,2.0,Indonesia,296.1080666129642
SI.2023.02.00076,2023-02-12,revenue studio,Studio,2120000.0,Studio,Local,5.0,Indonesia,130.78106275405918
SI.2023.02.00077,2023-02-12,revenue studio,Studio,500000.0,Studio,Local,1.0,Indonesia,30.84459027218377
SI.2023.02.00078,2023-02-14,revenue studio,Studio,1200000.0,Studio,Local,2.0,Indonesia,74.02701665324105
SI.2023.02.00079,2023-02-14,revenue studio,Studio,1000000.0,Studio,Local,2.0,Indonesia,61.68918054436754
SI.2023.02.00080,2023-02-14,revenue studio,Studio,1200000.0,Studio,Local,2.0,Indonesia,74.02701665324105
SI.2023.02.00081,2023-02-15,revenue studio,Studio,600000.0,Studio,Local,1.0,Indonesia,37.013508326620524
SI.2023.02.00082,2023-02-15,revenue studio,Studio,1400000.0,Studio,Local,4.0,Indonesia,86.36485276211455
SI.2023.02.00083,2023-02-15,revenue studio,Studio,1100000.0,Studio,Local,3.0,Indonesia,67.85809859880429
SI.2023.02.00084,2023-02-16,revenue studio,Studio,500000.0,Studio,Local,1.0,Indonesia,30.84459027218377
SI.2023.02.00085,2023-02-16,revenue studio,Studio,1100000.0,Studio,Local,4.0,Indonesia,67.85809859880429
SI.2023.02.00086,2023-02-17,revenue studio,Studio,2150000.0,Studio,Local,4.0,Indonesia,132.6317381703902
SI.2023.02.00087,2023-02-18,revenue studio,Studio,200000.0,Studio,Local,1.0,Indonesia,12.337836108873507
SI.2023.02.00088,2023-02-19,revenue studio,Studio,1600000.0,Studio,Local,8.0,Indonesia,98.70268887098806
SI.2023.02.00089,2023-02-19,revenue studio,Studio,2600000.0,Studio,Local,8.0,Indonesia,160.3918694153556
SI.2023.02.00090,2023-02-12,revenue studio,Studio,600000.0,Studio,Local,2.0,Indonesia,37.013508326620524
SI.2023.02.00091,2023-02-19,revenue studio,Studio,600000.0,Studio,Local,1.0,Indonesia,37.013508326620524
SI.2023.02.00092,2023-02-20,revenue studio,Studio,1000000.0,Studio,Local,2.0,Indonesia,61.68918054436754
SI.2023.02.00093,2023-02-20,revenue studio,Studio,1200000.0,Studio,Local,2.0,Indonesia,74.02701665324105
SI.2023.02.00094,2023-02-21,revenue studio,Studio,600000.0,Studio,Local,1.0,Indonesia,37.013508326620524
SI.2023.02.00095,2023-02-22,revenue studio,Studio,1600000.0,Studio,Local,2.0,Indonesia,98.70268887098806
SI.2023.02.00096,2023-02-22,revenue studio,Studio,1000000.0,Studio,Local,4.0,Indonesia,61.68918054436754
SI.2023.02.00097,2023-02-23,revenue studio,Studio,500000.0,Studio,Local,1.0,Indonesia,30.84459027218377
SI.2023.02.00098,2023-02-23,revenue studio,Studio,600000.0,Studio,Local,1.0,Indonesia,37.013508326620524
SI.2023.02.00099,2023-02-24,revenue studio,Studio,500000.0,Studio,Local,1.0,Indonesia,30.84459027218377
SI.2023.02.00100,2023-02-24,revenue studio,Studio,750000.0,Studio,Local,3.0,Indonesia,46.26688540827565
SI.2023.02.00101,2023-02-24,revenue studio,Studio,850000.0,Studio,Local,2.0,Indonesia,52.43580346271241
SI.2023.02.00102,2023-02-25,revenue studio,Studio,440000.0,Studio,Local,2.0,Indonesia,27.143239439521714
SI.2023.02.00103,2023-02-25,revenue studio,Studio,1000000.0,Studio,Local,5.0,Indonesia,61.68918054436754
SI.2023.02.00104,2023-02-26,revenue studio,Studio,400000.0,Studio,Local,2.0,Indonesia,24.675672217747014
SI.2023.02.00105,2023-02-26,revenue studio,Studio,300000.0,Studio,Local,1.0,Indonesia,18.506754163310262
SI.2023.02.00106,2023-02-08,kingdom gourmet - kula (kingdom gourmet w.l.l.),Kingdom Gourmet W.L.L.,3388.0,Restaurant,Export,264.0,Bahrain,3388.0
SI.2023.02.00107,2023-02-01,bali selaras indah sejati,The Edge,6836400.0,Restaurant,Local,36.0,Indonesia,421.7319138735142
SI.2023.02.00108,2023-02-01,ellyse dining singapore,Ellyse Dining,5695.55,Restaurant,Export,338.0,Singapore,5695.55
SI.2023.02.00109,2023-02-06,bali nusaintan,The Ritz Carlton Bali,24820721.0,Hotel,Local,158.0,Indonesia,1531.1699390103747
SI.2023.02.00111,2023-02-06,pmj sakti gamat,Maua Penida,1265400.0,Hotel,Local,10.0,Indonesia,78.06148906084267
SI.2023.02.00112,2023-02-06,pmj sakti gamat,Maua Penida,1804050.0,Hotel,Local,15.0,Indonesia,111.29036616106625
SI.2023.02.00114,2023-02-28,gantari,Gantari,5496550.0,Hotel,Local,34.0,Indonesia,339.0776653211434
SI.2023.02.00115,2023-02-01,karma bali indonesia,Karma Kandara,93656625.0,Hotel,Local,485.0,Indonesia,5777.600448801126
SI.2023.02.00120,2023-04-01,polse,Polse,70.0,Restaurant,Export,1.0,Singapore,70.0
SI.2023.02.00153,2023-02-05,sanur shop,Home Sanur,795000.0,Retail,Local,3.0,Indonesia,49.04289853277219
SI.2023.02.00189,2023-02-21,amanda arumdhani,Four Season Sayan,13720809.3,Hotel,Local,110.0,Indonesia,846.4254821225372
SI.2023.02.00213,2023-02-15,bahana wisata kencana,Kalea Batam (Spa),218406101.0,Restaurant,Local,1254.0,Indonesia,13473.293396580371
SI.2023.02.00215,2023-02-01,shed shop,Shed Shop,1020000.0,Retail,Local,1.0,Indonesia,62.92296415525489
SI.2023.02.00216,2023-02-02,shed shop,Shed Shop,5625000.0,Retail,Local,2.0,Indonesia,347.0016405620674
SI.2023.02.00217,2023-02-03,shed shop,Shed Shop,1705000.0,Retail,Local,2.0,Indonesia,105.18005282814664
SI.2023.02.00218,2023-02-04,shed shop,Shed Shop,835000.0,Retail,Local,2.0,Indonesia,51.51046575454689
SI.2023.02.00219,2023-02-05,shed shop,Shed Shop,8500000.0,Retail,Local,2.0,Indonesia,524.3580346271241
SI.2023.02.00220,2023-02-06,shed shop,Shed Shop,1490000.0,Retail,Local,2.0,Indonesia,91.91687901110762
SI.2023.02.00221,2023-02-07,shed shop,Shed Shop,3745000.0,Retail,Local,3.0,Indonesia,231.02598113865642
SI.2023.02.00222,2023-02-08,shed shop,Shed Shop,2585000.0,Retail,Local,2.0,Indonesia,159.4665317071901
SI.2023.02.00223,2023-02-09,shed shop,Shed Shop,3410000.0,Retail,Local,3.0,Indonesia,210.36010565629329
SI.2023.02.00224,2023-02-10,shed shop,Shed Shop,1690000.0,Retail,Local,2.0,Indonesia,104.25471511998113
SI.2023.02.00225,2023-02-11,shed shop,Shed Shop,3110000.0,Retail,Local,3.0,Indonesia,191.85335149298302
SI.2023.02.00226,2023-02-12,shed shop,Shed Shop,5485000.0,Retail,Local,2.0,Indonesia,338.3651552858559
SI.2023.02.00227,2023-02-13,shed shop,Shed Shop,2885000.0,Retail,Local,2.0,Indonesia,177.97328587050035
SI.2023.02.00228,2023-02-14,shed shop,Shed Shop,470000.0,Retail,Local,2.0,Indonesia,28.99391485585274
SI.2023.02.00229,2023-02-15,shed shop,Shed Shop,2085000.0,Retail,Local,2.0,Indonesia,128.6219414350063
SI.2023.02.00230,2023-02-16,shed shop,Shed Shop,3820000.0,Retail,Local,2.0,Indonesia,235.65266967948398
SI.2023.02.00231,2023-02-17,shed shop,Shed Shop,1590000.0,Retail,Local,1.0,Indonesia,98.08579706554438
SI.2023.02.00232,2023-02-18,shed shop,Shed Shop,1550000.0,Retail,Local,2.0,Indonesia,95.61822984376968
SI.2023.02.00233,2023-02-19,shed shop,Shed Shop,9540000.0,Retail,Local,2.0,Indonesia,588.5147823932663
SI.2023.02.00234,2023-02-20,shed shop,Shed Shop,4515000.0,Retail,Local,3.0,Indonesia,278.5266501578194
SI.2023.02.00235,2023-02-21,shed shop,Shed Shop,3790000.0,Retail,Local,2.0,Indonesia,233.80199426315295
SI.2023.02.00236,2023-02-22,shed shop,Shed Shop,4210000.0,Retail,Local,2.0,Indonesia,259.7114500917873
SI.2023.02.00237,2023-02-23,shed shop,Shed Shop,2800000.0,Retail,Local,2.0,Indonesia,172.7297055242291
SI.2023.02.00238,2023-02-24,shed shop,Shed Shop,2885000.0,Retail,Local,2.0,Indonesia,177.97328587050035
SI.2023.02.00239,2023-02-25,shed shop,Shed Shop,1840000.0,Retail,Local,2.0,Indonesia,113.50809220163626
SI.2023.02.00240,2023-02-26,shed shop,Shed Shop,505000.0,Retail,Local,2.0,Indonesia,31.153036174905605
SI.2023.02.00241,2023-02-27,shed shop,Shed Shop,4150000.0,Retail,Local,3.0,Indonesia,256.01009925912524
SI.2023.02.00242,2023-02-28,shed shop,Shed Shop,8160000.0,Retail,Local,3.0,Indonesia,503.3837132420391
SI.2023.02.00250,2023-02-03,nusadua graha international,The Westin Resort Nusa Dua,250200.0,Hotel,Local,1.0,Indonesia,15.434632972200758
SI.2023.02.00251,2023-02-28,jia,Jia,1392000.0,Artist Collaboration,Local,1.0,Indonesia,85.8713393177596
SI.2023.02.00253,2023-02-01,ubud shop,Home Ubud,1140000.0,Retail,Local,1.0,Indonesia,70.32566582057899
SI.2023.02.00254,2023-02-02,ubud shop,Home Ubud,4815000.0,Retail,Local,1.0,Indonesia,297.0334043211297
SI.2023.02.00255,2023-02-03,ubud shop,Home Ubud,2510000.0,Retail,Local,2.0,Indonesia,154.8398431663625
SI.2023.02.00256,2023-02-04,ubud shop,Home Ubud,6650000.0,Retail,Local,2.0,Indonesia,410.2330506200441
SI.2023.02.00257,2023-02-05,ubud shop,Home Ubud,3980000.0,Retail,Local,2.0,Indonesia,245.52293856658278
SI.2023.02.00258,2023-02-06,ubud shop,Home Ubud,4335000.0,Retail,Local,1.0,Indonesia,267.4225976598333
SI.2023.02.00259,2023-02-07,ubud shop,Home Ubud,13576000.0,Retail,Local,3.0,Indonesia,837.4923150703337
SI.2023.02.00260,2023-02-08,ubud shop,Home Ubud,9700000.0,Retail,Local,2.0,Indonesia,598.3850512803651
SI.2023.02.00261,2023-02-09,ubud shop,Home Ubud,5595000.0,Retail,Local,2.0,Indonesia,345.15096514573634
SI.2023.02.00262,2023-02-10,ubud shop,Home Ubud,9523750.0,Retail,Local,2.0,Indonesia,587.5123332094203
SI.2023.02.00263,2023-02-11,ubud shop,Home Ubud,8520000.0,Retail,Local,2.0,Indonesia,525.5918182380113
SI.2023.02.00264,2023-02-12,ubud shop,Home Ubud,4744000.0,Retail,Local,2.0,Indonesia,292.6534725024796
SI.2023.02.00265,2023-02-13,ubud shop,Home Ubud,402000.0,Retail,Local,1.0,Indonesia,24.79905057883575
SI.2023.02.00266,2023-02-14,ubud shop,Home Ubud,3530000.0,Retail,Local,1.0,Indonesia,217.7628073216174
SI.2023.02.00267,2023-02-15,ubud shop,Home Ubud,5482000.0,Retail,Local,2.0,Indonesia,338.1800877442228
SI.2023.02.00268,2023-02-16,ubud shop,Home Ubud,7740000.0,Retail,Local,2.0,Indonesia,477.4742574134047
SI.2023.02.00269,2023-02-17,ubud shop,Home Ubud,10241200.0,Retail,Local,2.0,Indonesia,631.7712357909768
SI.2023.02.00270,2023-02-18,ubud shop,Home Ubud,3488000.0,Retail,Local,2.0,Indonesia,215.17186173875396
SI.2023.02.00271,2023-02-20,ubud shop,Home Ubud,8292000.0,Retail,Local,2.0,Indonesia,511.5266850738956
SI.2023.02.00272,2023-02-21,ubud shop,Home Ubud,7099000.0,Retail,Local,2.0,Indonesia,437.9314926844651
SI.2023.02.00273,2023-02-22,ubud shop,Home Ubud,4135000.0,Retail,Local,1.0,Indonesia,255.08476155095977
SI.2023.02.00274,2023-02-23,ubud shop,Home Ubud,4243000.0,Retail,Local,3.0,Indonesia,261.74719304975144
SI.2023.02.00276,2023-02-24,ubud shop,Home Ubud,11356250.0,Retail,Local,3.0,Indonesia,700.5577565569738
SI.2023.02.00277,2023-02-25,ubud shop,Home Ubud,12065000.0,Retail,Local,3.0,Indonesia,744.2799632677943
SI.2023.02.00278,2023-02-26,ubud shop,Home Ubud,9527000.0,Retail,Local,2.0,Indonesia,587.7128230461896
SI.2023.02.00279,2023-02-27,ubud shop,Home Ubud,7035500.0,Retail,Local,2.0,Indonesia,434.0142297198978
SI.2023.02.00280,2023-02-28,ubud shop,Home Ubud,1925000.0,Retail,Local,1.0,Indonesia,118.7516725479075
SI.2023.02.00281,2023-02-01,sanur shop,Home Sanur,1950000.0,Retail,Local,1.0,Indonesia,120.29390206151669
SI.2023.02.00282,2023-02-02,sanur shop,Home Sanur,4240000.0,Retail,Local,1.0,Indonesia,261.56212550811836
SI.2023.02.00283,2023-02-03,sanur shop,Home Sanur,4175000.0,Retail,Local,1.0,Indonesia,257.5523287727345
SI.2023.02.00284,2023-02-04,sanur shop,Home Sanur,4436000.0,Retail,Local,2.0,Indonesia,273.6532048948144
SI.2023.02.00286,2023-02-06,sanur shop,Home Sanur,10362000.0,Retail,Local,2.0,Indonesia,639.2232888007364
SI.2023.02.00287,2023-02-07,sanur shop,Home Sanur,4650000.0,Retail,Local,2.0,Indonesia,286.854689531309
SI.2023.02.00288,2023-02-08,sanur shop,Home Sanur,2085000.0,Retail,Local,1.0,Indonesia,128.6219414350063
SI.2023.02.00289,2023-02-10,sanur shop,Home Sanur,595000.0,Retail,Local,2.0,Indonesia,36.70506242389868
SI.2023.02.00290,2023-02-12,sanur shop,Home Sanur,4085000.0,Retail,Local,2.0,Indonesia,252.00030252374137
SI.2023.02.00291,2023-02-13,sanur shop,Home Sanur,6638000.0,Retail,Local,2.0,Indonesia,409.49278045351167
SI.2023.02.00292,2023-02-14,sanur shop,Home Sanur,450000.0,Retail,Local,1.0,Indonesia,27.76013124496539
SI.2023.02.00293,2023-02-17,sanur shop,Home Sanur,1700000.0,Retail,Local,1.0,Indonesia,104.87160692542481
SI.2023.02.00294,2023-02-18,sanur shop,Home Sanur,3168000.0,Retail,Local,1.0,Indonesia,195.43132396455636
SI.2023.02.00295,2023-02-19,sanur shop,Home Sanur,860000.0,Retail,Local,1.0,Indonesia,53.05269526815608
SI.2023.02.00296,2023-02-23,sanur shop,Home Sanur,1180000.0,Retail,Local,2.0,Indonesia,72.79323304235369
SI.2023.02.00297,2023-02-24,sanur shop,Home Sanur,798000.0,Retail,Local,1.0,Indonesia,49.227966074405295
SI.2023.02.00298,2023-02-25,sanur shop,Home Sanur,5675000.0,Retail,Local,2.0,Indonesia,350.08609958928577
SI.2023.02.00299,2023-02-26,sanur shop,Home Sanur,5860000.0,Retail,Local,3.0,Indonesia,361.49859798999375
SI.2023.02.00300,2023-02-27,sanur shop,Home Sanur,280000.0,Retail,Local,1.0,Indonesia,17.27297055242291
SI.2023.02.00301,2023-02-28,sanur shop,Home Sanur,405000.0,Retail,Local,1.0,Indonesia,24.984118120468853
SI.2023.02.00302,2023-02-07,lobby shop,Home Lobby,617500.0,Retail,Local,1.0,Indonesia,38.09306898614695
SI.2023.02.00303,2023-02-10,lobby shop,Home Lobby,202500.0,Retail,Local,1.0,Indonesia,12.492059060234427
SI.2023.02.00304,2023-02-13,lobby shop,Home Lobby,1465000.0,Retail,Local,1.0,Indonesia,90.37464949749844
SI.2023.02.00305,2023-02-15,lobby shop,Home Lobby,1370000.0,Retail,Local,1.0,Indonesia,84.51417734578352
SI.2023.02.00307,2023-02-21,lobby shop,Home Lobby,2950000.0,Retail,Local,2.0,Indonesia,181.98308260588422
SI.2023.02.00308,2023-02-23,lobby shop,Home Lobby,725000.0,Retail,Local,1.0,Indonesia,44.72465589466646
SI.2023.02.00309,2023-02-27,lobby shop,Home Lobby,1298000.0,Retail,Local,1.0,Indonesia,80.07255634658905
SI.2023.02.00310,2023-02-28,lobby shop,Home Lobby,605000.0,Retail,Local,1.0,Indonesia,37.32195422934236
SI.2023.02.00312,2023-02-26,bazzar labrisa,Bazzar Labrisa,5400000.0,Retail,Local,2.0,Indonesia,333.12157493958466
SI.2023.02.00313,2023-02-19,bazzar labrisa,Bazzar Labrisa,7220000.0,Retail,Local,2.0,Indonesia,445.3958835303336
SI.2023.02.00314,2023-02-12,bazzar labrisa,Bazzar Labrisa,5020000.0,Retail,Local,2.0,Indonesia,309.679686332725
SI.2023.02.00315,2023-02-05,bazzar labrisa,Bazzar Labrisa,6440000.0,Retail,Local,2.0,Indonesia,397.2783227057269
SI.2023.02.00331,2023-02-09,nusalaut jaya bali,Uni,7592400.0,Restaurant,Local,36.0,Indonesia,468.3689343650561
SI.2023.03.00001,2023-03-01,nativa graha saji,Billy Ho,39496297.0,Restaurant,Local,350.0,Indonesia,2436.494196466962
SI.2023.03.00002,2023-02-03,revenue studio,Studio,850000.0,Studio,Local,2.0,Indonesia,52.43580346271241
SI.2023.03.00003,2023-01-26,renarte general trading llc,Renarte,2484.0,Agent,Export,120.0,United Arab Emirates,2484.0
SI.2023.03.00004,2023-03-02,revenue studio,Studio,250000.0,Studio,Local,1.0,Indonesia,15.422295136091885
SI.2023.03.00005,2023-03-02,revenue studio,Studio,300000.0,Studio,Local,1.0,Indonesia,18.506754163310262
SI.2023.03.00006,2023-03-02,revenue studio,Studio,200000.0,Studio,Local,2.0,Indonesia,12.337836108873507
SI.2023.03.00007,2023-03-04,revenue studio,Studio,600000.0,Studio,Local,1.0,Indonesia,37.013508326620524
SI.2023.03.00008,2023-03-04,revenue studio,Studio,720000.0,Studio,Local,5.0,Indonesia,44.416209991944626
SI.2023.03.00009,2023-03-05,revenue studio,Studio,1640000.0,Studio,Local,4.0,Indonesia,101.17025609276276
SI.2023.03.00010,2023-03-05,revenue studio,Studio,1160000.0,Studio,Local,3.0,Indonesia,71.55944943146633
SI.2023.03.00011,2023-03-05,revenue studio,Studio,200000.0,Studio,Local,1.0,Indonesia,12.337836108873507
SI.2023.03.00012,2023-03-06,revenue studio,Studio,800000.0,Studio,Local,1.0,Indonesia,49.35134443549403
SI.2023.03.00013,2023-03-06,revenue studio,Studio,1000000.0,Studio,Local,2.0,Indonesia,61.68918054436754
SI.2023.03.00014,2023-03-06,revenue studio,Studio,600000.0,Studio,Local,1.0,Indonesia,37.013508326620524
SI.2023.03.00016,2023-03-07,revenue studio,Studio,600000.0,Studio,Local,1.0,Indonesia,37.013508326620524
SI.2023.03.00017,2023-03-07,revenue studio,Studio,900000.0,Studio,Local,2.0,Indonesia,55.52026248993078
SI.2023.03.00018,2023-03-08,revenue studio,Studio,400000.0,Studio,Local,2.0,Indonesia,24.675672217747014
SI.2023.03.00019,2023-03-09,revenue studio,Studio,1200000.0,Studio,Local,2.0,Indonesia,74.02701665324105
SI.2023.03.00020,2023-03-09,revenue studio,Studio,1100000.0,Studio,Local,3.0,Indonesia,67.85809859880429
SI.2023.03.00021,2023-03-11,revenue studio,Studio,1200000.0,Studio,Local,2.0,Indonesia,74.02701665324105
SI.2023.03.00022,2023-03-11,revenue studio,Studio,300000.0,Studio,Local,1.0,Indonesia,18.506754163310262
SI.2023.03.00023,2023-03-12,revenue studio,Studio,600000.0,Studio,Local,1.0,Indonesia,37.013508326620524
SI.2023.03.00024,2023-03-12,revenue studio,Studio,600000.0,Studio,Local,3.0,Indonesia,37.013508326620524
SI.2023.03.00025,2023-03-13,revenue studio,Studio,1200000.0,Studio,Local,2.0,Indonesia,74.02701665324105
SI.2023.03.00026,2023-03-13,revenue studio,Studio,600000.0,Studio,Local,1.0,Indonesia,37.013508326620524
SI.2023.03.00027,2023-03-15,revenue studio,Studio,400000.0,Studio,Local,2.0,Indonesia,24.675672217747014
SI.2023.03.00028,2023-03-15,revenue studio,Studio,600000.0,Studio,Local,1.0,Indonesia,37.013508326620524
SI.2023.03.00029,2023-03-16,revenue studio,Studio,500000.0,Studio,Local,2.0,Indonesia,30.84459027218377
SI.2023.03.00030,2023-03-16,revenue studio,Studio,3000000.0,Studio,Local,1.0,Indonesia,185.0675416331026
SI.2023.03.00031,2023-03-18,revenue studio,Studio,1200000.0,Studio,Local,2.0,Indonesia,74.02701665324105
SI.2023.03.00032,2023-03-18,revenue studio,Studio,600000.0,Studio,Local,1.0,Indonesia,37.013508326620524
SI.2023.03.00033,2023-03-18,revenue studio,Studio,600000.0,Studio,Local,2.0,Indonesia,37.013508326620524
SI.2023.03.00034,2023-03-18,revenue studio,Studio,550000.0,Studio,Local,2.0,Indonesia,33.929049299402145
SI.2023.03.00036,2023-03-19,revenue studio,Studio,600000.0,Studio,Local,2.0,Indonesia,37.013508326620524
SI.2023.03.00037,2023-03-20,revenue studio,Studio,600000.0,Studio,Local,1.0,Indonesia,37.013508326620524
SI.2023.03.00038,2023-03-21,revenue studio,Studio,575000.0,Studio,Local,4.0,Indonesia,35.47127881301133
SI.2023.03.00039,2023-03-23,revenue studio,Studio,600000.0,Studio,Local,1.0,Indonesia,37.013508326620524
SI.2023.03.00040,2023-03-23,revenue studio,Studio,1200000.0,Studio,Local,3.0,Indonesia,74.02701665324105
SI.2023.03.00041,2023-03-24,revenue studio,Studio,300000.0,Studio,Local,1.0,Indonesia,18.506754163310262
SI.2023.03.00042,2023-03-26,revenue studio,Studio,900000.0,Studio,Local,3.0,Indonesia,55.52026248993078
SI.2023.03.00043,2023-03-26,revenue studio,Studio,600000.0,Studio,Local,1.0,Indonesia,37.013508326620524
SI.2023.03.00044,2023-03-27,revenue studio,Studio,600000.0,Studio,Local,3.0,Indonesia,37.013508326620524
SI.2023.03.00045,2023-03-27,revenue studio,Studio,600000.0,Studio,Local,2.0,Indonesia,37.013508326620524
SI.2023.03.00046,2023-03-28,revenue studio,Studio,1600000.0,Studio,Local,2.0,Indonesia,98.70268887098806
SI.2023.03.00047,2023-03-29,revenue studio,Studio,850000.0,Studio,Local,3.0,Indonesia,52.43580346271241
SI.2023.03.00048,2023-03-29,revenue studio,Studio,500000.0,Studio,Local,1.0,Indonesia,30.84459027218377
SI.2023.03.00049,2023-03-30,revenue studio,Studio,600000.0,Studio,Local,2.0,Indonesia,37.013508326620524
SI.2023.03.00050,2023-03-30,revenue studio,Studio,600000.0,Studio,Local,2.0,Indonesia,37.013508326620524
SI.2023.03.00051,2023-03-09,"cprc (maldives) pvt, ltd (ritz carlton maldives)",Ritz Carlton Maldives,17902.4,Hotel,Export,1276.0,Maldives,17902.4
SI.2023.03.00053,2023-03-02,conrad bali,Conrad,1000000.0,Hotel,Local,4.0,Indonesia,61.68918054436754
SI.2023.03.00110,2023-03-31,food culture bali indonesia,M&M Catering,4617600.0,Restaurant,Local,26.0,Indonesia,284.8559600816715
SI.2023.03.00111,2023-03-31,permadani khatulistiwa nusantara,St Regis Hotel Jakarta,541443462.36,Hotel,Local,3183.0,Indonesia,33401.20350409351
SI.2023.03.00113,2023-03-30,indonesia adventure sport,Nihi Sumba,85936200.0,Hotel,Local,408.0,Indonesia,5301.333757096877
SI.2023.03.00114,2023-03-01,yawara boga indonesia,Yawara,17217600.0,Restaurant,Local,96.0,Indonesia,1062.1396349407025
SI.2023.03.00115,2023-03-01,ir. anita sukarman,Second Floor Jakarta,117105000.0,Restaurant,Local,650.0,Indonesia,7224.11148764816
SI.2023.03.00116,2023-03-24,samanvaya,Zen Happy,6454650.0,Hotel,Local,33.0,Indonesia,398.1820692007019
SI.2023.03.00118,2023-03-03,nusadua graha international,The Westin Resort Nusa Dua,22199838.0,Hotel,Local,19.0,Indonesia,1369.4898144377112
SI.2023.03.00119,2023-03-20,anaamaya resort seminyak,Alila Seminyak,4272463.0,Hotel,Local,4.0,Indonesia,263.56474137613014
SI.2023.03.00120,2023-03-16,anaamaya resort seminyak,Alila Seminyak,12130364.0,Hotel,Local,12.0,Indonesia,748.3122148648963
SI.2023.03.00121,2023-03-01,autogrill services indonesia,Autogrill,288900462.0,Restaurant,Local,1935.0,Indonesia,17822.032759669193
SI.2023.03.00122,2023-03-01,autogrill services indonesia,Autogrill,18648000.0,Restaurant,Local,80.0,Indonesia,1150.3798387913657
SI.2023.03.00123,2023-03-17,pahdi alam sejahtera,Pahdi,367825750.0,Restaurant,Local,1954.0,Indonesia,22690.869100617398
SI.2023.03.00124,2023-09-20,shelter indonesia group,Shelter Seminyak,6488250.0,Restaurant,Local,38.0,Indonesia,400.25482566699264
SI.2023.03.00125,2023-03-01,gunung slamat,Joglo Agung,142214000.0,Hotel,Local,1000.0,Indonesia,8773.065121936685
SI.2023.03.00126,2023-03-07,gantari,Gantari,466200.0,Hotel,Local,2.0,Indonesia,28.759495969784144
SI.2023.03.00127,2023-03-08,bokashi berawa,Bokashi Berawa,4123000.0,Restaurant,Local,15.0,Indonesia,254.34449138442736
SI.2023.03.00128,2023-03-01,bali radiance,Bali Radiance,208890000.0,Hotel,Local,1000.0,Indonesia,12886.252923912934
SI.2023.03.00129,2023-03-01,tutobono buana indonesia,Tutobono,56526900.0,Restaurant,Local,204.0,Indonesia,3487.098139713409
SI.2023.03.00130,2023-03-01,brett hospitality group,BHG,65490000.0,Restaurant,Local,420.0,Indonesia,4040.02443385063
SI.2023.03.00156,2023-05-01,cap karoso development,Cap Karoso,393172313.0,Hotel,Local,3155.0,Indonesia,24254.477801703582
SI.2023.03.00157,2023-05-01,cap karoso development,Cap Karoso,122025177.0,Hotel,Local,952.0,Indonesia,7527.633174911405
SI.2023.03.00158,2023-05-01,cap karoso development,Cap Karoso,153963612.0,Hotel,Local,1172.0,Indonesia,9497.889057930952
SI.2023.03.00159,2023-03-29,w hotel palm jumeirah,W Hotel,3084.0,Hotel,Export,162.0,UAE,3084.0
SI.2023.03.00160,2023-03-01,shed shop,Shed Shop,2525000.0,Retail,Local,3.0,Indonesia,155.76518087452803
SI.2023.03.00161,2023-03-02,shed shop,Shed Shop,3050000.0,Retail,Local,2.0,Indonesia,188.152000660321
SI.2023.03.00162,2023-03-03,shed shop,Shed Shop,1760000.0,Retail,Local,2.0,Indonesia,108.57295775808686
SI.2023.03.00163,2023-03-04,shed shop,Shed Shop,3695000.0,Retail,Local,3.0,Indonesia,227.94152211143805
SI.2023.03.00164,2023-03-05,shed shop,Shed Shop,670000.0,Retail,Local,2.0,Indonesia,41.33175096472625
SI.2023.03.00165,2023-03-06,shed shop,Shed Shop,1820000.0,Retail,Local,1.0,Indonesia,112.27430859074892
SI.2023.03.00166,2023-03-07,shed shop,Shed Shop,2770000.0,Retail,Local,2.0,Indonesia,170.87903010789807
SI.2023.03.00167,2023-03-08,shed shop,Shed Shop,2570000.0,Retail,Local,1.0,Indonesia,158.54119399902456
SI.2023.03.00168,2023-03-09,shed shop,Shed Shop,70000.0,Retail,Local,1.0,Indonesia,4.318242638105727
SI.2023.03.00169,2023-03-10,shed shop,Shed Shop,3380000.0,Retail,Local,2.0,Indonesia,208.50943023996226
SI.2023.03.00170,2023-03-11,shed shop,Shed Shop,2610000.0,Retail,Local,1.0,Indonesia,161.00876122079927
SI.2023.03.00171,2023-03-12,shed shop,Shed Shop,325000.0,Retail,Local,1.0,Indonesia,20.04898367691945
SI.2023.03.00172,2023-03-13,shed shop,Shed Shop,2940000.0,Retail,Local,2.0,Indonesia,181.36619080044056
SI.2023.03.00173,2023-03-14,shed shop,Shed Shop,3074000.0,Retail,Local,4.0,Indonesia,189.6325409933858
SI.2023.03.00174,2023-03-15,shed shop,Shed Shop,10985000.0,Retail,Local,3.0,Indonesia,677.6556482798774
SI.2023.03.00175,2023-03-16,shed shop,Shed Shop,1988500.0,Retail,Local,2.0,Indonesia,122.66893551247485
