Company_Name,PO Number,Date,Trade_Type,Total,Total_Quantity,Location,Customer_Category,Country
sungguh sangat nikmat,,11/02/2024,,44888400.0,0,,Restaurant,Indonesia
success venture hotel investments,,19/02/2024,,2959150.0,0,,Hotel,Indonesia
success venture hotel investment,,21/03/2024,,913336277.0,0,,Hotel,Indonesia
success venture hotel investment,,14/06/2024,,6915690.0,0,,Hotel,Indonesia
"ssp taurus gemilang indonesia, pt",-,17/12/2024,Local,9990000.0,36,Bali,Restaurant,Indonesia
"ssp taurus gemilang indonesia, pt",-,17/12/2024,Local,13320000.0,48,Bali,Restaurant,Indonesia
spirit real-estate development company,,08/02/2024,,80.0,0,,Hotel,Kuwait
spirit real-estate development company,,23/05/2024,,11400.0,0,,Hotel,Kuwait
southern dunes operations & maintenance co.,,27/03/2024,,2355.6,0,,Hotel,Saudi Arabia
southern dunes operations & maintenance co.,,25/06/2024,,412.5,0,,Hotel,Saudi Arabia
southern dunes operations & maintenance co.,,06/09/2024,,0.0,0,,Hotel,Saudi Arabia
sonia,,04/04/2024,,3091.42,0,,Personal,Canada
solana retreat ubud,-,30/01/2025,Local,30747000.0,135,,Hotel,Indonesia
smeeta - chef jolly,-,27/02/2025,Export,3257.0,184,,Restaurant,India
six senses con dao,4187,15/01/2025,Export,5611.0,578,Vietnam,Hotel,Vietnam
simon burgess,,06/12/2023,,1840.0,0,,Personal,Italy
simon & son's,,03/07/2024,,189238350.0,0,,Restaurant,Indonesia
silolona pinisi eksplorer,-,19/09/2024,Local,111621600.0,480,Bali,Hotel,Indonesia
sheraton melbourne hotel,,31/01/2024,,780.0,0,,Hotel,Australia
shelter indonesia group,,12/12/2023,Local,41391900.0,0,,Restaurant,Indonesia
shelter indonesia group,,03/01/2024,Local,16650000.0,0,,Restaurant,Indonesia
shelter indonesia group,,18/03/2024,Local,3663000.0,0,,Restaurant,Indonesia
shelter indonesia group,,12/08/2024,Local,3885000.0,0,,Restaurant,Indonesia
shelter indonesia group,,21/03/2024,Local,15706500.0,0,,Restaurant,Indonesia
shelter indonesia group,,21/03/2024,Local,197644935.0,0,,Restaurant,Indonesia
shelter indonesia group,-,17/03/2025,Local,19758000.0,130,,Restaurant,Indonesia
shelter indonesia group,,12/08/2024,Local,23310000.0,0,,Restaurant,Indonesia
shelter indonesia group,,18/12/2024,Local,8325000.0,0,,Restaurant,Indonesia
sharon frances,,16/01/2024,,17138400.0,0,,Personal,Indonesia
sequitur resorts pty limited (six senses fiji),,24/05/2024,,1467.0,0,,Hotel,Fiji
seniman industries,,03/01/2024,Local,3552000.0,0,,Hotel,Indonesia
seniman industries,,06/05/2024,Local,4262400.0,0,,Hotel,Indonesia
seniman industries,-,25/10/2024,Local,16872000.0,190,Bali,Hotel,Indonesia
selera dapur sedap,PO202411270001,09/12/2024,Local,18514800.0,72,Bali,Restaurant,Indonesia
selera dapur sedap,,11/12/2023,Local,78854400.0,0,,Restaurant,Indonesia
sejahtera indoco,,25/03/2024,,5594400.0,0,,Hotel,Indonesia
sejahtera indoco,,03/01/2024,,41494575.0,0,,Hotel,Indonesia
sejahtera indoco,,03/11/2023,,258299775.0,0,,Hotel,Indonesia
sejahtera indoco,,21/08/2024,,48118500.0,0,,Hotel,Indonesia
sejahtera indoco,,19/09/2024,,17982000.0,0,,Hotel,Indonesia
sardine,,10/09/2024,,17615700.0,0,,Restaurant,Indonesia
santanera,,30/05/2024,,24508800.0,0,,Restaurant,Indonesia
samanvaya,,26/01/2024,Local,11738250.0,0,,Hotel,Indonesia
samanvaya,,15/05/2024,Local,54778500.0,0,,Hotel,Indonesia
samanvaya,,08/07/2024,Local,3579750.0,0,,Hotel,Indonesia
samanvaya,,27/08/2024,Local,4262400.0,0,,Hotel,Indonesia
samanvaya,-,07/02/2025,Local,24647550.0,178,Bali,Hotel,Indonesia
samabe luxury resort,-,11/12/2024,Local,17582400.0,45,Bali,Hotel,Indonesia
"rpb investment co., ltd.",-,18/02/2025,Export,4417.0,461,,Export,Cambodia
rosewood hotel doha,,08/08/2024,Export,9425.0,0,,Hotel,Qatar
rosewood hotel doha,P12000111,05/03/2025,Export,187.15,13,,Hotel,Qatar
riviera bistro,,14/11/2024,Local,1864800.0,0,,Restaurant,Indonesia
riviera bistro,,22/05/2024,Local,128944260.0,0,,Restaurant,Indonesia
riviera bistro,-,23/01/2025,Local,6726600.0,60,Bali,Restaurant,Indonesia
riviera bistro,,23/07/2024,Local,1332000.0,0,,Restaurant,Indonesia
riviera bistro,,25/07/2024,Local,6293700.0,0,,Restaurant,Indonesia
riviera bistro,,21/08/2024,Local,20535000.0,0,,Restaurant,Indonesia
riviera bistro,-,21/01/2025,Local,13997100.0,74,,Restaurant,Indonesia
rishab hotel & restaurant,,12/06/2024,,55645.0,0,,Hotel,India
revolver cinta kopi,,22/12/2023,Local,32495250.0,0,,Restaurant,Indonesia
revolver cinta kopi,-,11/12/2024,Local,22444200.0,87,Bali,Restaurant,Indonesia
renarte general trading llc,,11/01/2024,Export,1872.0,0,,Agent,United Arab Emirates
renarte general trading llc,,18/01/2024,Export,508.8,0,,Agent,United Arab Emirates
renarte general trading llc,2024-2279,16/12/2024,Export,984.0,48,Uni Emirat Arab,Agent,United Arab Emirates
reef hospitality solutions and trading company,-,04/06/2024,Export,41723.9,2560,,Hotel,Saudi Arabia
reef hospitality solutions and trading company,-,03/06/2024,Export,4100.8,160,,Hotel,Saudi Arabia
reef hospitality solutions and trading company,-,04/06/2024,Export,34661.0,2470,,Hotel,Saudi Arabia
reef hospitality solutions and trading company,-,03/06/2024,Export,29770.9,1960,,Hotel,Saudi Arabia
reef hospitality solutions and trading company,-,04/06/2024,Export,45109.8,2960,,Hotel,Saudi Arabia
reef hospitality solutions and trading company,-,04/06/2024,Export,31468.94,1990,Saudi Arabia,Hotel,Saudi Arabia
reef hospitality solutions and trading company,-,03/06/2024,Export,11078.2,560,,Hotel,Saudi Arabia
reef hospitality solutions and trading company,-,03/06/2024,Export,77544.8,4240,,Hotel,Saudi Arabia
reef hospitality solutions and trading company,-,03/06/2024,Export,75466.82,4708,,Hotel,Saudi Arabia
reef hospitality solutions and trading company,-,04/06/2024,Export,4104.0,160,,Hotel,Saudi Arabia
rayjin ubud,,19/08/2024,,20823600.0,0,,Restaurant,Indonesia
range developments msd limited (six sense grenada),,09/12/2023,,450.0,0,,Hotel,Grenada
radhat al jabal llc (hotel indigo jabal akhdar resort & spa),,01/03/2024,,43392.5,0,,Hotel,Oman
pt vatos tamora indonesia,-,11/03/2025,Local,70795800.0,336,,Restaurant,Indonesia
pt mda abs tamora,,09/08/2024,,153080100.0,0,,Restaurant,Indonesia
pt caterison sukses,,31/05/2024,Local,555000000.0,0,,Hotel,Indonesia
pt caterison sukses,CS/0056/III/25,18/03/2025,Local,13320000.0,72,,Hotel,Indonesia
pt caterison sukses,CS/0068/III/25,25/03/2025,Local,176417850.0,1220,,Hotel,Indonesia
pt autogrill services indonesia,,29/11/2023,Local,53621325.0,0,,Restaurant,Indonesia
pt autogrill services indonesia,,24/05/2024,Local,136035772.0,0,,Restaurant,Indonesia
pt autogrill services indonesia,,04/06/2024,Local,704850.0,0,,Restaurant,Indonesia
pt autogrill services indonesia,PO-BMker/6948/12/WGP-ASI/2024,05/12/2024,Local,155011500.0,830,Bali,Restaurant,Indonesia
prima ismaya sejahtera,,28/05/2024,,4218000.0,0,,Restaurant,Indonesia
prima ismaya sejahtera,,21/05/2024,,6793200.0,0,,Restaurant,Indonesia
prima ismaya sejahtera,,31/07/2024,,19846800.0,0,,Restaurant,Indonesia
prima fenomena jaya,,12/12/2023,,72333150.0,0,,Restaurant,Indonesia
