      ,Client Name,PIC,Quotation Out,Qty (Pcs), Amount (IDR) , Amount (USD) , Amount (AUD) , Amount ( EUR ) , Amount (SGD) , Remark ,Contact Person,Send By,Inquiry,Remark
,,,Purchase Order Received,,,,,,,,,,,
,,,Canceled Purchase Order,,,,,,,,,,,
,,,Order is on hold,,,,,,,,,,,
,2024,,,,,,,,,,,,,
56,Bali Good Food Catering,,31/Jan/24,," IDR  51,120,000 ",,,,,,,,,
57,The Lynx Jakarta,,31/Jan/24,," IDR  101,336,500 ",,,,,,,,,
58,Kebun Bistro,,31/Jan/24,," IDR  16,720,000 ",,,,,,,,,
59,Four Season Sayan - Western Breakfast (916),,31/Jan/24,," IDR  26,255,000 ",,,,,,,,,
60,Four Season Sayan - Western Breakfast (215),,31/Jan/24,," IDR  24,640,000 ",,,,,,,,,
61,Four Season Sayan Ayung Teras - Riverside (221),,31/Jan/24,," IDR  137,240,000 ",,,,,,,,,
62,Four Season Sayan - Western Breakfast (306),,31/Jan/24,," IDR  1,800,000 ",,,,,,,,,
,,,TOTAL,," IDR 4,694,689,040 "," USD  11,399.70 ", AUD  -   ,,,,,,,
,,,,,,,,,,,,,,
,Total PO Received,,,," IDR  2,200,766,790 "," USD  2,379.00 ",,,,,,,,
,Total PO Not Received,,,," IDR  2,493,922,250 "," USD  9,020.70 ",,,,,,,,
,,,,,,,,,,,,,,
,FEBRUARY,,,,,,,,,,,,,
1,Grand Hyatt Kuwait,,01/Feb/24,,," USD  13,440.00 ",,,,,,,,
2,Woo Bo Additional,,01/Feb/24,," IDR  11,700,000 ",,,,, Received PO 5 Feb,,,,
3,Savaya (Café Kitsune),,01/Feb/24,," IDR  3,900,000 ",,,,,,,,,
4,Grand Hyatt Kuwait - Sample,,01/Feb/24,,, USD  80.00 ,,,, Received PO 5 Feb,,,,
5,Bottega (Revisi),,05/Feb/24,," IDR  37,150,000 ",,,,,,,,,
6,Amankila,,05/Feb/24,," IDR  14,095,000 ",,,,, Received PO 8 Feb,,,,
7,Abisena - Inroom and Amenities (Disc 5%),,06/Feb/24,," IDR  151,382,500 ",,,,, Received PO 7 Feb,,,,
8,Sindalah Island - Autograph Collection ADD,,06/Feb/24,,," USD  75,541.20 ",,,,,,,,
9,Sindalah Island  - Autograph Collection IRD (Fruit Bowl),,06/Feb/24,,," USD  15,140.00 ",,,,,,,,
10,Sindalah Island - Autograph Collection IRD,,06/Feb/24,,," USD  36,705.00 ",,,,,,,,
11,Sindalah Island - Autograph Collection Meeting & Boardroom,,06/Feb/24,,," USD  32,374.80 ",,,,,,,,
12,Sindalah Island - Autograph Collection Pool Bar & Restaurant,,06/Feb/24,,," USD  38,505.00 ",,,,,,,,
13,Sindalah Island - Autograph Collection Specialty Restaurant,,06/Feb/24,,," USD  44,386.00 ",,,,,,,,
14,Sindalah Island - Luxury Collection Hotel ADD,,06/Feb/24,,," USD  82,200.00 ",,,,,,,,
15,Sindalah Island -  Luxury Collection Hotel PoolBar & Restaurant,,06/Feb/24,,," USD  27,810.00 ",,,,,,,,
16,Sindalah Island -  Luxury Collection Hotel Speciality Restaurant,,06/Feb/24,,," USD  73,200.00 ",,,,,,,,
17,Double tree by hilton ,,06/Feb/24,," IDR  19,760,000 ",,,,,,,,,
18,Mimpi Resort Menjangan,,07/Feb/24,," IDR  38,880,000 ",,,,,,,,,
19,Mamasan (Good Stock),,07/Feb/24,," IDR  2,149,200 ",,,,,,,,,
20,Langham The Tom's,,08/Feb/24,," IDR  37,000,000 ",,,,,,,,,
21,Micha Sanubari,,08/Feb/24,," IDR  6,750,000 ",,,,,,,,,
22,Three Monkeys Sanur,,08/Feb/24,," IDR  15,170,000 ",,,,,,,,,
23,Nusa Dua Beach - Additional,,08/Feb/24,," IDR  9,900,000 ",,,,,,,,,
24,Ayana Rimba (Toge),,12/Feb/24,," IDR  50,500,000 ",,,,,,,,,
25,Bali Radiance - Four Season Jimbaran,,12/Feb/24,," IDR  110,000,000 ",,,,,,,,,
26,Nusa Penida Beach Resort - Restaurant,,12/Feb/24,," IDR  390,840,000 ",,,,,,,,,
27,Nusa Penida Beach Resort - Inroom,,12/Feb/24,," IDR  44,780,000 ",,,,,,,,,
28,"Indigo Oman - SPA, Additional, Inroom",,12/Feb/24,,," USD  43,392.50 ",,,,,,,,
29,Alila Villas Uluwatu - Creamer,,13/Feb/24,," IDR  4,860,000 ",,,,,,,,,
30,Ayana After Rock (Organic Plate),,13/Feb/24,," IDR  45,000,000 ",,,,,,,,,
31,Balcony ,,15/Feb/24,," IDR  76,418,000 ",,,,,,,,,
32,Blanche Bistro,,15/Feb/24,," IDR  18,000,000 ",,,,,,,,,
33,Pablo Longtime Restaurant - Additional,,16/Feb/24,," IDR  9,060,000 ",,,,,,,,,
34,Ayana Dava (Bento Box),,16/Feb/24,," IDR  50,600,000 ",,,,,,,,,
35,Omma Bali ,,16/Feb/24,," IDR  136,562,500 ",,,,,,,,,
36,Alilla Seminyak Sea Salt - Beach Bar,,19/Feb/24,," IDR  209,500,000 ",,,,,,,,,
37,Alila Seminyak Sea Salt - Breakfast & Lunch,,19/Feb/24,," IDR  293,250,000 ",,,,,,,,,
38,Alila Seminyak Sea Salt - Dinner,,19/Feb/24,," IDR  176,800,000 ",,,,,,,,,
39,Alila Seminyak Sea Salt - Seafood Buffet,,19/Feb/24,," IDR  36,205,000 ",,,,,,,,,
40,Wolf Gang Puck,,19/Feb/24,," IDR  90,200,000 ",,,,,,,,,
41,Nihi Rote,,19/Feb/24,," IDR  35,950,000 ",,,,,,,,,
42,Moon Bear - SAMPLE,,19/Feb/24,,, USD  173.00 ,,,,,,,,
43,Six Senses Morocco,,20/Feb/24,,," USD  23,680.50 ",,,,,,,,
44,Le Meridien Jakarta,,21/Feb/24,," IDR  738,500,000 ",,,,,,,,,
45,Bvlgari,,21/Feb/24,," IDR  36,280,500 ",,,,,,,,,
46,Ritz Carlton Bahrain - Cantina Kahlo,,21/Feb/24,,," USD  33,260.00 ",,,,,,,,
47,GAB's Gastro Bar,,21/Feb/24,," IDR  201,627,000 ",,,,,,,,,
48,Raffles Singapore,,21/Feb/24,,," USD  11,916.00 ",,,,,,,,
49,Chroma Hospitality inroom,,22/Feb/24,,," USD  9,500.00 ",,,,,,,,
50,Jean Louis Leon - Steak Restaurant,,22/Feb/24,,," USD  4,652.50 ",,,,,,,,
51,Ibu Ming (Elaine),,26/Feb/24,," IDR  32,970,000 ",,,,,,,,,
52,Raffles Bali,,26/Feb/24,," IDR  108,965,000 ",,,,,,,,,
53,Shelter Pererenan,,26/Feb/24,," IDR  92,100,000 ",,,,,,,,,
54,Shelter Pererenan - Additional ,,26/Feb/24,," IDR  34,500,000 ",,,,,,,,,
55,Bawah Reserve,,26/Feb/24,," IDR  38,000,000 ",,,,,,,,,
56,Renarte General Trading LLC,,26/Feb/24,,," USD  5,010.00 ",,,,,,,,
,,,,,,,,,,,,,,
25,Capella Resort Singapore - Fiamma Restaurant,,27/Feb/24,,," USD  1,480.00 ",,,,,,,,
26,Kaia Restaurant ,,27/Feb/24,," IDR  27,960,000 ",,,,,,,,,
27,Drifter,,27/Feb/24,," IDR  112,400,000 ",,,,,,,,,
28,Nawa Laboan Bajo - All Day Dinning Option 1 ,,27/Feb/24,," IDR  468,200,000 ",,,,,,,,,
